include,purpose,use.lw,use.l,tech,batch,id,tin.id,photo.id,date,time,station,tx,stage,len.fr.bin,len.fr,len.p2w,len.p2m,raw.wt,c.wt,len,len.bin,notes,
TRUE,LW,TRUE,FALSE,Kate,NA,152,NA,NA,NA,NA,NA,8SBF,Male,NA,NA,13.3,NA,0.00760,0.00807,13.3,13,NA
TRUE,LW,TRUE,FALSE,Kate,NA,153,NA,NA,NA,NA,NA,8SBF,Male,NA,NA,14.6,NA,0.01050,0.01097,14.6,13,NA
TRUE,LW,TRUE,FALSE,Kate,NA,154,NA,NA,NA,NA,NA,Fresh,Fem,13,14.4,NA,NA,0.00470,0.00517,14.4,13,NA
TRUE,LW,TRUE,FALSE,Kate,NA,155,NA,NA,NA,NA,NA,8SBF,Grav,NA,NA,15.1,NA,0.00990,0.01037,15.1,15,NA
TRUE,LW,TRUE,FALSE,Kate,NA,156,NA,NA,NA,NA,NA,Fresh,Grav,13,13.5,NA,NA,0.00500,0.00546,13.5,13,NA
TRUE,LW,TRUE,FALSE,Kate,NA,157,NA,NA,NA,NA,NA,8SBF,Fem,NA,NA,14.5,NA,0.00940,0.00987,14.5,13,NA
TRUE,LW,TRUE,FALSE,Kate,NA,158,NA,NA,NA,NA,NA,8SBF,Fem,NA,NA,14.0,NA,0.00900,0.00947,14.0,13,NA
TRUE,LW,TRUE,FALSE,Kate,NA,159,NA,NA,NA,NA,NA,Fresh,Male,7,8.1,NA,NA,0.00070,0.00116,8.1,7,NA
TRUE,LW,TRUE,FALSE,Kate,NA,160,NA,NA,NA,NA,NA,Fresh,Grav,15,16.8,NA,NA,0.01170,0.01217,16.8,15,NA
TRUE,LW,TRUE,FALSE,Kate,NA,161,NA,NA,NA,NA,NA,Fresh,Male,13,14.6,NA,NA,0.00640,0.00686,14.6,13,NA
